Size,BlockSize,Time_sec,Speedup,Efficiency,Operations,Status
200,8,0.000794,1.0,100.0,8000000,PASSED
200,16,0.000794,1.0,25.0,8000000,PASSED
200,32,0.0009609,0.83,5.2,8000000,PASSED
400,8,0.001466,1.0,100.0,64000000,PASSED
400,16,0.0014239,1.03,25.8,64000000,PASSED
400,32,0.001333,1.1,6.9,64000000,PASSED
800,8,0.0043422,1.0,100.0,512000000,PASSED
800,16,0.0045801,0.95,23.8,512000000,PASSED
800,32,0.0045519,0.95,5.9,512000000,PASSED
1200,8,0.0104595,1.0,100.0,1728000000,PASSED
1200,16,0.0102651,1.02,25.5,1728000000,PASSED
1200,32,0.0102135,1.02,6.4,1728000000,PASSED
1600,8,0.021838,1.0,100.0,4096000000,PASSED
1600,16,0.0213326,1.02,25.5,4096000000,PASSED
1600,32,0.0211147,1.03,6.4,4096000000,PASSED
2000,8,0.0376737,1.0,100.0,8000000000,PASSED
2000,16,0.038095,0.99,24.8,8000000000,PASSED
2000,32,0.0381078,0.99,6.2,8000000000,PASSED
